Created with UCDetector 1.10.0	2013-01-22 00:16:44	http://www.ucdetector.org/	
Location	Description	Java	Marker	Author
it.d4nguard.comics.feed.FeedReader.FeedReader(FeedReader.java:21)	Constructor "FeedReader.FeedReader(URL)" has 0 references	FeedReader.FeedReader(URL)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.persistence.Persistor.save(Persistor.java:31)	Method "Persistor.save(E)" has 0 references	Persistor.save(E)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.persistence.Persistor.update(Persistor.java:49)	Method "Persistor.update(E)" has 0 references	Persistor.update(E)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.persistence.Persistor.saveOrUpdate(Persistor.java:67)	Method "Persistor.saveOrUpdate(E)" has 0 references	Persistor.saveOrUpdate(E)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.persistence.Persistor.updateAll(Persistor.java:112)	Method "Persistor.updateAll(Collection<E>)" has 0 references	Persistor.updateAll(Collection<E>)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.persistence.Persistor.saveOrUpdateAll(Persistor.java:139)	Method "Persistor.saveOrUpdateAll(Collection<E>)" has 0 references	Persistor.saveOrUpdateAll(Collection<E>)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.persistence.Persistor.delete(Persistor.java:166)	Method "Persistor.delete(E)" has 0 references	Persistor.delete(E)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.persistence.Persistor.findByEqField(Persistor.java:205)	Method "Persistor.findByEqField(Class<E>,String,Object)" has 0 references	Persistor.findByEqField(Class<E>,String,Object)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.persistence.Persistor.findByCriterion(Persistor.java:210)	Change visibility of Method "Persistor.findByCriterion(Class<E>,Criterion[])" to private	Persistor.findByCriterion(Class<E>,Criterion[])	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comics.persistence.Persistor.execute(Persistor.java:268)	Method "Persistor.execute(String)" has 0 references	Persistor.execute(String)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.persistence.Persistor.handleException(Persistor.java:290)	Change visibility of Method "Persistor.handleException(Throwable)" to private	Persistor.handleException(Throwable)	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comics.persistence.Persistor.startOperation(Persistor.java:297)	Change visibility of Method "Persistor.startOperation()" to private	Persistor.startOperation()	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comics.persistence.HibernateFactory.<init>(HibernateFactory.java:16)	Change visibility of Class "HibernateFactory" to default - May cause compile errors!	HibernateFactory	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comics.persistence.HibernateFactory.buildIfNeeded(HibernateFactory.java:24)	Change visibility of Method "HibernateFactory.buildIfNeeded(Properties)" to default	HibernateFactory.buildIfNeeded(Properties)	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comics.persistence.HibernateFactory.getSessionFactory(HibernateFactory.java:43)	Method "HibernateFactory.getSessionFactory()" has 0 references	HibernateFactory.getSessionFactory()	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.persistence.HibernateFactory.openSession(HibernateFactory.java:48)	Change visibility of Method "HibernateFactory.openSession()" to default	HibernateFactory.openSession()	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comics.persistence.HibernateFactory.openSession(HibernateFactory.java:53)	Change visibility of Method "HibernateFactory.openSession(Properties)" to private	HibernateFactory.openSession(Properties)	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comics.persistence.HibernateFactory.closeFactory(HibernateFactory.java:62)	Method "HibernateFactory.closeFactory()" has 0 references	HibernateFactory.closeFactory()	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.persistence.HibernateFactory.close(HibernateFactory.java:78)	Change visibility of Method "HibernateFactory.close(Session)" to default	HibernateFactory.close(Session)	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comics.persistence.HibernateFactory.rollback(HibernateFactory.java:94)	Change visibility of Method "HibernateFactory.rollback(Transaction)" to default	HibernateFactory.rollback(Transaction)	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comics.utils.data.GenericHibernateBaseUserType.<init>(GenericHibernateBaseUserType.java:9)	Change visibility of Class "GenericHibernateBaseUserType" to default - May cause compile errors!	GenericHibernateBaseUserType	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comics.utils.data.ScriptRunner.<init>(ScriptRunner.java:42)	Change visibility of Class "ScriptRunner" to default - May cause compile errors!	ScriptRunner	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comics.utils.data.ScriptRunner.ScriptRunner(ScriptRunner.java:64)	Change visibility of Constructor "ScriptRunner.ScriptRunner(Connection,boolean,boolean)" to default	ScriptRunner.ScriptRunner(Connection,boolean,boolean)	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comics.utils.data.ScriptRunner.setDelimiter(ScriptRunner.java:75)	Change visibility of Method "ScriptRunner.setDelimiter(String,boolean)" to private	ScriptRunner.setDelimiter(String,boolean)	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comics.utils.data.ScriptRunner.runScript(ScriptRunner.java:114)	Change visibility of Method "ScriptRunner.runScript(Reader)" to default	ScriptRunner.runScript(Reader)	org.ucdetector.analyzeMarkerVisibilityDefault	
